area,subarea,Total de Candidatos
Cápsula Up,Cápsula Up,5
Pesquisa,Pesquisa,14
Extensão,Extensão,9
Computação,Desenvolvimento de Software,10
Computação,Ciência de Dados,4
Computação,Inteligência Artificial,3
Computação,Desenvolvimento Web,3
Administrativo,Financeiro,12
Administrativo,Eventos,7
Administrativo,Comunicação,4
Administrativo,Parcerias,1
Aviônica,Energia,3
Aviônica,Telemetria,2
Aviônica,Controle,1
Mecânica,Propulsão,11
Mecânica,Estrutura,9
Mecânica,Aviônica para foguetes,8
Mecânica,Qualidade,2
Mecânica,Trajetória,1
